objectid,cip_id,title,start_cnst,cncl_dist,cip_stat,comp_area,ext_phone,asset_type,desc_text,hyperlink,shape_Length
413,B22082,Block 2S1(South Mission)Rd Imp UU977(CS),4/5/2021 0:00:00,2,Construction,MISSION BEACH,6195334207,Trans - Roadway,PCC paving,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22082,13137.336035517220807
414,B22061,AC Water & Sewer Group 1027 (P),7/31/2019 0:00:00,3,Post Construction,NORTH PARK,6195334207,Trans - Roadway,"Project proposes 1.76 mi of AC overlay paving for this project which will begin in April 2022. Project is bundled with B-15118 and B-15121 AC Water and Sewer Group 1027 (S)(W). PPM Group G000115",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22061,9008.183500886078036
415,B22091,Golden Hill Improv 2 (S),1/29/2026 0:00:00,"8, 3",Design,"GREATER GOLDEN HILL, BALBOA PARK, SOUTHEASTERN SAN DIEGO",6195334207,Wastewater - Collection Sys - Main,"Replace approximately 1,996 LF (0.38 mi) of existing 6-, 8-, and 16-inch vitrified clay (VC), unknown (UNK), and polyvinyl chloride (PVC) sewer mains with new 8-, and 12-inch pipe. Rehab approximately 1,551 LF (0.29 mi) of existing 8-, and 15-inch VC and concrete (CP) sewer mains. Install approximately 965 LF (0.18 mi) of new 8- and 12-inch pipe. Abandon approximately 809 LF (0.15 mi) of existing 6-, 8-, 15- and 16-inch VC, CP and (UNK) sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22091,5969.355724305843069
416,B22093,Golden Hill Improv 2 (W),1/29/2026 0:00:00,3,Design,"GREATER GOLDEN HILL, BALBOA PARK",6195334207,Water - Distribution Sys - Distribution,"Water Improvements: Replace approximately 14,674 LF (2.77 mi) of existing 3-, 4-, 6‐, 8‐, and 12‐inch wrought iron (WI), cast iron (CI) and asbestos cement (AC) water mains with new 8‐ and 12‐inch pipe. Install new 8-inch pipe approximately 30 LF (0.005 mi). Install 2 new master meters, replace the water services and transfer as private services. Abandon approximately 60 LF (0.01 mi) of existing 6‐ inch AC water main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22093,15073.718402624088412
417,B22141,Balboa Park Pipeline Repl Ph III (P),4/5/2021 0:00:00,3,Construction,BALBOA PARK,6195334207,Trans - Roadway,AC Overlay paving,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22141,5298.100752529051533
418,B22109,Sewer & Water GJ Crown Pt s La Playa (P),8/10/2016 0:00:00,1,Construction,"MISSION BAY PARK, PACIFIC BEACH",6195334207,Trans - Roadway,Sewer & Water GJ Crown Pt s La Playa Paving 1,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22109,16015.113558895551250
419,B23012,West Ramp Spider Hanger Rehabilitation,1/2/2026 0:00:00,7,Design,KEARNY MESA,6195334207,Airport Assets,This project includes repairing the existing aircraft ramp near the Spiders hangar on the southwest end of the airfield by milling and paving the existing ramp. This asphalt overlay that will meet the design standards of the aircraft type approved for use on this ramp.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23012,958.490817065368788
420,B21046,Golden Hill Improv 1 (S),5/13/2030 0:00:00,"3, 9",Design,"GREATER GOLDEN HILL, SOUTHEASTERN SAN DIEGO",6195334207,Wastewater - Collection Sys - Main, "Sewer Main: Construction of approximately 8,310 linear feet (1.57 miles) sewer mains to replace existing 6‐, 8‐, 10‐, 12‐, and 15‐inch vitrified clay (VC) and concrete pipe (CP) sewer mains, including associated laterals, manholes, cleanouts, and other appurtenances. Construction of approximately 1,111 linear feet (0.21 miles) of new 8‐ and 10‐inch sewer mains. Rehabilitation of approximately 550 linear feet (0.10 miles) of existing 8‐inch VC sewer mains. Approximately 907 linear feet (0.17 mile",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B21046,12181.751197141666125
421,B21047,Golden Hill Improv 1 (W),5/13/2030 0:00:00,3,Design,GREATER GOLDEN HILL,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 7,126 linear feet (1.35 miles) of polyvinyl chloride (PVC) water mains to replace existing asbestos cement (AC) water mains, including all associated water services, fire hydrants, valves, and other appurtenances. Construction of approximately 300 linear feet (0.06 miles) of new water main added by PUD. Approximately 1,072 linear feet (0.20 miles) of water main to be abandoned (see Attachment B - Project Scope by FSN).",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B21047,11821.066488390613813
422,B20145,La Jolla Scenic Drive Paving,7/29/2016 0:00:00,1,Post Construction,LA JOLLA,6195334207,Trans - Roadway,"Project proposes the AC Overlay paving for the Fairway Rd., Via Valverde, and Nautilus St.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20145,4679.191303660601079
423,B23009,Jamacha Lomita Improv 2 (S),1/2/2031 0:00:00,4,Design,SKYLINE-PARADISE HILLS,6195334207,Wastewater - Collection Sys - Main,"Sewer - This project shall install approximately 12,394 LF of 8-, 10-, and 12-inch sewer main.  In addition, the project shall rehabilitate approximately 5,462 LF of existing 8- and 10-inch VC sewer main, some of which may require point repair;",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23009,14288.170347296061664
424,B23010,Jamacha Lomita Improv 2 (W),7/21/2028 0:00:00,4,Design,SKYLINE-PARADISE HILLS,6195334207,Water - Distribution Sys - Distribution,"Water - This project shall install approximately 8,544 LF of 8- and 10-inch water main.  In addition, the project shall abandon 924 LF of 4-, 6-, and 10-inch AC and PVC water main.  The project would also include the following improvements: curb ramps, slurry and street resurfacing.  Community Planning area: Skyline-Paradise Hills; Council District:  4",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23010,9241.625341718754498
425,B20086,CMP Storm Drain Lining II,6/23/2023 0:00:00,"2, 6, 7, 5",Construction,"SCRIPPS MIRAMAR RANCH, LINDA VISTA, CLAIREMONT MESA, UNIVERSITY, NAVAJO, MIRA MESA",6195334207,Drainage - Storm Drain Pipes,"Construction of CMP Storm Drain Lining II consists of the lining of 2,204 linear feet of 15"", 18"". 24"", and 48"" corrugated metal pipe storm drain. The project is located in several locations throughout Scripps Miramar Ranch, Mira Mesa, University, Clairemont Mesa, Linda Vista, and Navajo.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20086,2142.472039878686246
426,B16175,Mira Mesa South Storm Drain Replacement,3/13/2023 0:00:00,6,Construction,MIRA MESA,6195334207,Drainage - Storm Drain Pipes,"Mira Mesa South Storm Drain Replacement consists of the installation of 568 linear feet of 36-inch reinforced concrete pipe storm drain and the abandonment of 559 linear feet of 36-inch corrugated metal pipe storm drain. The project is located in the Mira Mesa community, council district 6.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16175,576.647995826943315
427,B19204,AC Water and Sewer Group 1023B (S),5/24/2023 0:00:00,3,Construction,NORTH PARK,6195334207,Wastewater - Collection Sys - Main,"AC Water and Sewer Group 1023B consists of the installation of approximately 4,810 linear feet (0.91 miles) of water main, 486.36 linear feet (0.09 miles) of sewer main, 114.64 linear feet (0.02 miles) of sewer main rehabilitation, water services, fire hydrants, blowoff valves, air vacuum valves, sewer laterals, manholes, curb ramps, pavement resurfacing and all other associated work.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19204,575.750346899495753
428,B19205,AC Water and Sewer Group 1023B (W),5/24/2023 0:00:00,3,Construction,NORTH PARK,6195334207,Water - Distribution Sys - Distribution,"AC Water and Sewer Group 1023B consists of the installation of approximately 4,810 linear feet (0.91 miles) of water main, 486.36 linear feet (0.09 miles) of sewer main, 114.64 linear feet (0.02 miles) of sewer main rehabilitation, water services, fire hydrants, blowoff valves, air vacuum valves, sewer laterals, manholes, curb ramps, pavement resurfacing and all other associated work.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19205,4617.268843614520847
429,B20125,East Village Improv 1 (W),3/22/2027 0:00:00,3,Bid / Award,"DOWNTOWN, GREATER GOLDEN HILL",6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 2,680 linear feet (0.51 miles) of PVC water mains to replace existing 6, 8, 12, and 16-inch asbestos cement (AC) water mains via open trench, including all associate water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20125,4441.648331770184086
430,B18112,Sewer & AC Water Group 1055 (S),10/24/2025 0:00:00,3,Design,DOWNTOWN,6195334207,Wastewater - Collection Sys - Main,"Replace approximately 8,012 LF (1.52 miles) of existing 6-inch, 8-inch, 12-inch and 14-inch vitrified clay (VC), concrete (CP) and polyvinyl chloride (PVC) sewer mains. Abandon 3,851 LF (0.73 miles) of existing 4, 6, 12, and 14-inch VC and CP sewer mains, including associated sewer laterals, manholes, curb ramps, traffic control, etc.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18112,10954.260615495124512
431,B18115,Sewer & AC Water Group 1055 (W),10/24/2025 0:00:00,3,Design,"DOWNTOWN, GREATER GOLDEN HILL",6195334207,Water - Distribution Sys - Distribution,"Replace approximately 6,136 linear feet (LF) (1.16 miles) of existing 6, 8, 12 and 16-inch diameter asbestos cement (AC) and Ductile Iron (DI) water pipes with 8, 12, and 16-inch  Polyvinyl Chloride (PVC) pipes. Abandon 222 linear feet (0.04 miles) of 4, 6, and 16-inch diameter Cast Iron (CI) and DI water pipes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18115,6426.308947042271939
432,B23042,Rancho Bernardo Improv 1 (S),8/21/2024 0:00:00,5,Construction,RANCHO BERNARDO,6195334207,Wastewater - Collection Sys - Main,"Rehabilitate approximately 22,377 LF (4.24 miles) of existing 8-in sewer mains, including 12 external point repairs that require trenching, 6 internal point repairs that do not require trenching, rehabilitation of 23 manholes, installation of 1 new manhole, install 27 new cleanouts, rehabilitation of existing sewer laterals, and installation of sewer lateral cleanouts at the property line, if needed. The project is located in council district 5, within the Rancho Bernardo community.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23042,22877.656814663027035
433,B15104,Green Infrastructure Group 1014,9/25/2026 0:00:00,9,Design,MID-CITY:CITY HEIGHTS,6195334207,Drainage - Best Mgt Practices (BMPs),Design and construction of green infrastructure BMPs to capture and treat the first 0.5” of rain storm of six drainage basins before releasing the water into the Chollas Creek. The BMP type will be determined during design.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15104,603.134905139336865
434,B20023,La Jolla Improv 3 (W),12/30/2025 0:00:00,1,Design,LA JOLLA,6195334207,Water - Distribution Sys - Distribution,"The project will replace in place approximately 4,050 linear feet (LF) of 4, 8, 10, and 12 inch diameter water mains; abandon 1,250 LF of 8 inch diameter water main and 1,250 LF of 12 inch diameter water main; and replace in place several fire hydrants. Other project improvements include the installation of a new pressure reduction station, new curb ramps that meet Americans with Disabilities Act (ADA) standards, and 4,050 LF of asphalt concrete (AC) overlay and concrete pavement replacement.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20023,1789.138025875015046
435,B19141,Redwood Village/Rolando Park Improv 1(W),8/19/2024 0:00:00,9,Construction,MID-CITY:EASTERN AREA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 11,946 linear feet (2.26 miles) of PVC water mains to replace existing 4, 6, 8 and 12-inch asbestos cement (AC) water mains via open trench, including all associate water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19141,8188.142711340175083
436,B21124,Otay 1st/2nd PPL West of Highland (P),12/9/2019 0:00:00,"3, 9",Post Construction,"NORTH PARK, MID-CITY:CITY HEIGHTS",6195334207,Trans - Roadway,Asphalt paving,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B21124,18134.508833719715767
437,B23047,Redwood Village/Rolando Park Imp 1A (W),8/14/2023 0:00:00,9,Construction,MID-CITY:EASTERN AREA,6195334207,Water - Distribution Sys - Distribution,"Construction of Redwood Village/Rolando Park Improv 1A consists of the abandonment of approximately 3201 linear feet of existing water mains, and the installation of 3477.07 linear feet of 12-inch water mains, including all associated water services, fire hydrants, valves, water mains, and other appurtenances. All other work and appurtenances will be included in this project area in accordance with these specificiations and these drawings numbered 0100594-D.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23047,3492.447086179281541
438,B23053,Orange Ave RD Imp UU24,1/2/2024 0:00:00,9,Construction,MID-CITY:CITY HEIGHTS,6195334207,Trans - Roadway,Curb Ramps and Resurfacing,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23053,1925.981463517344309
439,B23034,Shelltown Improv 1 (S),7/12/2029 0:00:00,8,Design,SOUTHEASTERN SAN DIEGO,6195334207,Wastewater - Collection Sys - Main,"Construction of approx 770 linear feet (0.15 miles) sewer mains to replace existing 6‐ and 8‐inch vitrified clay (VC) mains. Point repair 1 segment of 8” VC sewer mains. Rehab of approx 1,130 linear feet (0.21 miles) of existing VC sewer mains. Additionally, the project includes the construction of 2 new manholes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23034,1850.608074613821600
440,B23035,Shelltown Improv 1 (W),7/12/2029 0:00:00,8,Design,SOUTHEASTERN SAN DIEGO,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 16,036 linear feet (3.04 miles) of 8‐inch and 12‐inch water mains to replace existing 4‐, 6‐, 8‐, and 12‐inch asbestos cement (AC) water mains, including all associated water services, fire hydrants, valves, and other appurtenances. Additionally, the project includes the construction of 436 linear feet (0.08 miles) of new 8” water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23035,20737.025058377766982
441,B18191,Sewer & AC Water Group 1058 (S),8/24/2028 0:00:00,"2, 1",Design,"CLAIREMONT MESA, PACIFIC BEACH",6195334207,Wastewater - Collection Sys - Main,"Replace, install and rehabilitate approximately 9,215 LF (1.75 miles) of existing VC pipe, cast iron (CI) , concrete pipe (CP) and polyvinyl chloride (PVC), including associated sewer laterals, replumbs, manholes, ADA improvements, traffic control, etc. Project scope also includes ADA improvements and paving of all areas impacted by this project.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18191,8490.586943786056509
442,B18193,Sewer & AC Water Group 1058 (W),8/23/2028 0:00:00,1,Design,PACIFIC BEACH,6195334207,Water - Distribution Sys - Distribution,"Replace and install approximately 2,609 LF (0.49 mile) of existing water mains, including associated water services, ADA improvements, curb ramps, traffic control, etc. Project scope also includes ADA improvements and paving of all areas impacted by this project.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18193,2138.683635841623527
443,B18153,Hilltop PH I(Boundary-Toyne)Rd Imp UU617,10/14/2024 0:00:00,9,Construction,SOUTHEASTERN SAN DIEGO,6195334207,Trans - Roadway,"This project consists of curb ramp installations, street resurfacing (overlay and/or slurry seal), and other work as pertinent and necessary to the construction of the Hilltop Drive, Ph I (Boundary St to Toyne St) Underground Utility Road Improvements Project UU617.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18153,5907.610280158135538
444,L23001.1,El Camino Real Pipeline North,9/17/2026 0:00:00,1,Design,"RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, NCFUA SUBAREA II, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, FAIRBANKS RANCH COUNTRY CLUB",6195334207,Water - Distribution Sys - Distribution,"Water Improvements: Construction of approximately 2,685 linear feet (LF) (0.51 miles) of new 16-inch water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=L23001.1,2685.286752605773472
445,B22128,AC Water & Sewer Group 1042 (SS),6/26/2023 0:00:00,6,Construction,KEARNY MESA,6195334207,Trans - Roadway,"The project will resurfaced from Kearny Mesa Rd/ Ostrow Street to the SR-52 EB off/ on-ramp. The scope of work will consist of 3-inch full width grinding and 3-inch AC overlay, with base repair dig-outs as-needed throughout the Convoy corridor and installation of bike lane corridors.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22128,8545.950054000431919
446,B23017,Balboa Park Pipeline Repl (BL),8/23/2021 0:00:00,3,Construction,BALBOA PARK,6195334207,Trans - Bicycle Facilities (All Class.),Resurface approximately 1.32 miles of street. Bundled with B17133 Balboa Park Pipeline Repl Ph II (S) and B17140 Balboa Park Pipeline Repl Phase II (W).,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23017,6394.050609839619938
447,B10161,Laurelridge Court Storm Drain,4/28/2027 0:00:00,7,Design,NAVAJO,6195334207,Drainage - Storm Drain Pipes,"Laurelridge Court Storm Drain includes the installation of approximately 411 linear feet of 24"" reinforced concrete pipe storm drain within dedicated open space in Rancho Mission Canyon Park. The project includes the associated storm drain cleanouts, catch basin, slope repair, and revegetation.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B10161,456.667759818678746
448,B23018,Asphalt Overlay 2201 (SS),5/1/2023 0:00:00,1,Construction,LA JOLLA,6195334207,Trans - Roadway,"170,000 SF of pavement resurfacing along La Jolla Parkway from the I-5 Offramp to La Jolla Dr Scenic N Drive. Work involves furnishing all labor, materials, equipment, services, quality assurance and construction including but not limited to grinding, cold milling, hauling and disposal of existing asphalt, installment of new pavement, excavation for pavement base repair, raising appurtenances and survey monuments to grade, sweeping, and replacing traffic striping/markings/markers/devices.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23018,3481.377054733800833
449,B22038,Barrio Logan Improv 1 (S),3/19/2027 0:00:00,8,Design,BARRIO LOGAN,6195334207,Wastewater - Collection Sys - Main,"Sewer scope of work: Replacement of approximately 919 LF (0.17 miles) of 8‐, 10‐, and 12‐inch of vitrified clay (VC) and polyvinyl chloride (PVC) sewer mains. Construction of approximately 1,809 LF (0.34 miles) of new 8‐in sewer mains. Abandon approximately 1,639 LF (0.31 miles) of existing VC sewer mains. Rehabilitation of approximately 899 LF (0.17 miles) of existing VC and PVC sewer mains. Replumb 26 sewer laterals.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22038,5097.672206789616212 
450,B22060,Barrio Logan Improv 1 (W),3/19/2027 0:00:00,8,Design,BARRIO LOGAN,6195334207,Water - Distribution Sys - Distribution,"Water scope of work: Replacement of approximately 5,212 linear feet (LF) (0.99 miles) of 8‐ and 12‐inch asbestos cement (AC) water mains. Construction of approximately 55,000 SF of AC Overlay along Main St between Schley St and 27th St and along 27th St between Boston Av and Main St",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22060,5318.203534037351346
451,B23041,Tierrasanta Improv 2 (S),9/11/2024 0:00:00,7,Construction,TIERRASANTA,6195334207,Wastewater - Collection Sys - Main,"Rehabilitate approximately 7,996 LF of existing  8-inch sewer, including existing manholes and sewer laterals. Install new manhole and cleanouts.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23041,8023.743742244920213
452,B22026,Talmadge Improv 1 (W),7/3/2024 0:00:00,9,Construction,MID-CITY:KENSINGTON-TALMADGE,6195334207,Water - Distribution Sys - Distribution,"Replace approximately 8,728 linear feet (1.65 miles) of existing 8- and 12-inch asbestos cement (AC) water mains with new water mains via open trench construction method, including all associated water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22026,8510.635101635314641
453,B22153,2870 Mobley St SD Replacement,7/22/2024 0:00:00,7,Construction,SERRA MESA,6195334207,Drainage - Storm Drain Pipes,"The project will consist of the removal of 125 linear feet of 18” wide corrugated metal pipe, and replacing them it with 332 linear feet of new 18” reinforced concrete piping, a concrete energy dissipater, rip-rap, and a 3 new cleanouts.  The project will require the clearing and grubbing of vegetation in the project area, revegetation, repair of sinkhole and erosion at 2870 and 2884 Mobley Street. Temporary and permanent easement acquisitions for the storm drain extension and construction.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22153,371.160718361148838
454,B21123,Sewer and AC Water GJ 778 (BL),8/4/2016 0:00:00,4,Construction,ENCANTO NEIGHBORHOODS,6195334207,Trans - Bicycle Facilities (All Class.),AC Overlay paving,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B21123,58766.059122915889020
455,B15101,Storm Drain Group 1023,1/4/2028 0:00:00,3,Design,"GREATER GOLDEN HILL, BALBOA PARK",6195334207,Drainage - Storm Drain Pipes,"This project proposes to install 1127.78 LF (0.21 miles) of existing and new storm drain pipe including associated curb inlets, energy dissipators, pavement resurfacing, etc.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15101,1147.137392339576536
456,B16173,University City South SD Replace,4/13/2029 0:00:00,6,Design,UNIVERSITY,6195334207,Drainage - Storm Drain Pipes,"The University City South SD Replacement project proposes to replace the existing deteriorated 18"" and 24"" CMP storm drain, with appropriately sized RCP storm drainpipe. Storm drains will conform to the requirements in the Drainage Design Manual.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16173,2621.777807984762148
457,B17030,Bay Terraces & Skyline South SD Repl,7/13/2027 0:00:00,4,Design,SKYLINE-PARADISE HILLS,6195334207,Drainage - Storm Drain Pipes,"Several CMP storm drains in this neighborhood need to be replaced. They are in poor condition. See drainage conveyance IDs: PI21843, PI23617, PI31287, PI26202, PI21866, CV00052, PI31099, PI35128, PI32786, PI30578, PI31834, PI32447, PI26514, PI27209, PI29699, PI34984, PI31098, PI34178, PI22379, PI28353, PI21657, PI35145, PI30852, PI21855, PI34188, PI22378, PI24349, PI35084.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B17030,4268.396001252241149
458,B22076,Hillcrest Improv 2 (S),7/16/2029 0:00:00,3,Design,UPTOWN,6195334207,Wastewater - Collection Sys - Main,"Construction of 4,760 LF (0.90 miles) of 8-, 10- and 12-inch sewer mains to replace existing vitrified clay (VC) and concrete pipe (CP) sewer mains. Construction of 185 LF (0.04 miles) of new 8-in sewer mains. Abandonment of 300 LF (0.06 miles) of existing VC and cast iron (CI) sewer mains.  Rehabilitation of 1,329 LF (0.25 miles) of existing vitrified clay (VC) sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22076,6952.899197353965974
459,B23007,Point Loma Heights Improv 2 (S),5/22/2030 0:00:00,2,Design,PENINSULA,6195334207,Wastewater - Collection Sys - Main,"Replace approximately 135 LF (0.03 mi) of existing 6- and 8-inch vitrified clay (VC) and concrete pipe (CP) sewer mains with appropriately sized PVC mains. Rehab approximately 7,019 LF (1.33 mi) of existing 8-, and 10-inch VC and cast iron (CI) sewer mains. Install 6 cleanouts.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23007,7180.592283974629936
460,B23008,Point Loma Heights Improv 2 (W),5/22/2030 0:00:00,2,Design,"PENINSULA, OCEAN BEACH",6195334207,Water - Distribution Sys - Distribution,"Replace approximately 9,361 LF (1.77 mi) of existing 6-, 8-, and 12-inch asbestos cement (AC) and cast iron (CI) mains with appropriately sized PVC mains.  Resurface approximately 4,623 LF (0.88 mi) of streets with AC overlay within the sewer and water alignments.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B23008,8954.670261399183801
461,B15196,San Carlos SD Replacement (Northeast),6/6/2030 0:00:00,7,Design,NAVAJO,6195334207,Drainage - Storm Drain Pipes,"This project will upgrade various deteriorated storm drains (SD) at several locations in the Navajo Community with new RCP SD. Corrugated metal pipes (CMP) SD on Ruane St, Golfcrest Dr, Tuxedo St and Rowena St are in poor condition and need to be replaced.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15196,9526.012323294607995
462,B22070,Point Loma Heights Improv 1 (W),8/11/2031 0:00:00,2,Design,PENINSULA,6195334207,Water - Distribution Sys - Distribution,"Construction of 5,430 linear feet (LF) (1.03 miles) of 8-inch water mains to replace existing asbestos cement (AC) water mains. Construction of 922 LF (0.17 miles) of new 8-in water mains. Abandonment of 986 LF (0.19 miles) of existing AC water mains. The project is located in council district 2, within the Midway Pacific Highway and Peninsula community.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22070,7361.258929186149544
463,B22071,Point Loma Heights Improv 1 (S),8/11/2031 0:00:00,2,Design,"MIDWAY-PACIFIC HIGHWAY, PENINSULA",6195334207,Wastewater - Collection Sys - Main,"Construction of 6,502 LF (1.23 miles) of 8, 12, and 15-inch sewer mains to replace existing vitrified clay (VC) and PVC sewer mains. Construction of 1,315 LF (0.25 miles) of new 8 and 10-in sewer mains. Abandonment of 2,543 LF (0.48 miles) of existing VC sewer mains.  Rehabilitation of 9,621 LF (1.82 mi) of existing vitrified clay (VC) sewer mains.  Replumb 3 laterals, 6 point repairs, and install 14 cleanouts.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22071,21220.960892504364892
464,B15209,Torrey Highlands & Rancho PQ SD Repl,5/6/2030 0:00:00,5,Design,"TORREY HIGHLANDS, RANCHO PENASQUITOS",6195334207,Drainage - Storm Drain Pipes,"This project proposes to repair collapsed storm drain outfall near Camino Del Sur, and realignment storm drain pipes out of the easement and into the street right-of-way. This project will replace several CMP storm drain in poor condition with new RCP at several locations in the Rancho Penasquitos communities.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15209,2365.131840912583357
465,B15063,Storm Drain Group 1013,6/21/2028 0:00:00,9,Design,MID-CITY:CITY HEIGHTS,6195334207,Drainage - Storm Drain Pipes,Replacement of 760 ft of CMP storm drain pipe in CD9 Mid City: City Heights community.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15063,792.595883067253681
466,B15197,North Park SD Replacement (North),7/20/2027 0:00:00,3,Design,"NORTH PARK, MISSION VALLEY",6195334207,Drainage - Storm Drain Pipes,"The project's scope of work includes replacement of the deteriorated CMP storm drain pipes located in the easement and right-of-way. And realignment of storm drain (SD) pipes out of the easement and move into the street right-of-way. Also this project will abandonment in place of existing CMP SD, extend pipes in the canyon if necessary, add energy dissipaters, and acquire additional easement where necessary.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15197,3664.614434230792085
467,B16092,College East Storm Drain Replacement,12/22/2027 0:00:00,9,Design,COLLEGE AREA,6195334207,Drainage - Storm Drain Pipes,"This project proposes to replace approximately 1,027 LF (0.19 mi) of existing deteriorated 18"" CMP, RCP, concrete half‐pipe and concrete brow‐ditch storm drains with appropriately sized RCP storm drain pipes. In addition, the project proposes to install approximately 412 LF (0.08 mi) of new RCP storm drain pipes. Additionally, all necessary inlets, outlets, headwalls, energy dissipaters, and cleanouts will be installed.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16092,822.438499683102350
468,B15208,Adams North SD Replacement,1/21/2028 0:00:00,9,Design,MID-CITY:NORMAL HEIGHTS,6195334207,Drainage - Storm Drain Pipes,"Replacement of several CMP and one RCP storm drain pipes located in the easement and right-of-way with appropriate sizes RCP. The project also includes realignment of storm drain (SD) pipes out of the easement and move into the street right-of-way. The project will abandon and rerouted existing storm drains, extend pipes in the canyon if necessary, add energy dissipater, and acquire additional easement where necessary.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15208,3443.683486462475230
469,B22144,Sewer and AC Water Group 1032 (SS),1/19/2021 0:00:00,8,Construction,SAN YSIDRO,6195334207,Trans - Roadway,Sexy Street / Delta Fund for Curb Ramps and Resurfacing.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B22144,11689.387464703211663
470,B00387,Sewer & AC Water Group Job 776 (S),3/27/2017 0:00:00,4,Post Construction,MID-CITY:EASTERN AREA,6195334207,Wastewater - Collection Sys - Main,"Rehabilitate 655 linear feet of existing VC sewer main, install 15,055 linear feet of new sewer main and replace 3,968.8 linear feet of existing VC sewer main, including associated sewer laterals, manholes, curb ramps and other appurtenances.  Project is located in Mid-City:   Eastern Area, Council District 4.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00387,27572.537301935171854
